"國語漢字","台語拼音","國語注釋"
"個個","gor4-gor3","每個的意思，如“-in-個個是英雄好漢”（in2-gor4-gor3-si3-ing2-hiong5-hor1-han3）他們每個人都是英雄好漢。-in-即他們。"
"個性","gor4-sing3","性情、癖性。"
"個別","gor4-bet1","各個、單個。"
"個體","gor4-te4","單一的人或生物。"
"一個月","zit3-gor4-ghueh1",
"一個","zit3-e5","一箇"
"一個人","zit3-e2-lang5",
"兩個錶仔","lng3-e2-bior1-a4","兩只手錶。"
"幾個人","gui1-e2-lang5","“無幾個人”（bhor2-gui1-e2-lang5）沒幾個人。"
"十外個人客","zap3-ghua3-e2-lang2-keh2","十幾個客人。"
"國民","gok1-bhin5","國家的成員。"
"國號","gok1-hor2","國家的名號。"
"國防","gok1-hong5","國家的防禦力量。"
"國家","gok1-ga1","國的意思。"
"國歌","gok1-gua1","代表國家的歌。"
"國王","gok1-ong5","封建時代國家的最高統治者。"
"國產","gok1-san4","本國所生產的。"
"國是","gok1-si2","國家的大政策。"
"國土","gok1-to4","國家的領土。"
"國際","gok1-ze3","各國之間。"
"國策","gok1-cik2","國家的基本政策。"
"英國","ing2-gok2","“聯合王國”（Lian2-hap3-ong2-gok2）。"
"三國","sam2-gok2","口語音是〔sann2-gok2〕，例“三國志”（sam2-gok1-zi3）。"
"我國","ngo1-gok2","我們的國家。"
"我們","ngo1-bhun5","第一人稱複數。"
"忘我","bhong3-ngo4",
"大我","dai3-ngo4","指自己所屬的團體、國家。"
"自我中心","zu3-ngo4-diong2-sim1",
"我行我素","ngo1-hing5-ngo1-so3","不管別人的意見，照自己的做法去做。"
"我的","ghua1-e5","自己所有。"
"互我","ho3-ghua4","給我。"
"我子","ghua1-giann4","同“阮子”（ghun1-giann4）我（我們）的孩子。"
"無我","bhor2-ghua4","沒有自己，文言音為〔bhu2-ngo4〕。"
"是我","si3-ghua4","是自己。“是我不對”（si3-ghua4-but1-dui3）是自己不對。"
"以後","i1-au2","之後。"
"以免","i1-bhen4","不至於發生。"
"以外","i1-ghua2","範圍之外。"
"以及","i1-gip2","累加（連接詞）。"
"以來","i1-lai5","從指定約時間直到現在。"
"以內","i1-lai2","在範圍之內。"
"以往","i1-ong4","以前。"
"以下","i1-ha2","下面，界限之下。"
"以上","i1-siong2","上面，界限之上。"
"以致","i1-di3","表結果或功效的連詞。"
"以前","i1-zing5","之前。"
"可以","kor1-i4","容許、准許。"
"用以","iong3-i4","拿來做…用。"
"所以","so1-i4","表示原因的結果。"
"以毒攻毒","i1-dok1-gong2-dok1","用毒藥治療毒病，喻以惡制惡。"
"要害","iau4-hai2","致命的部位。"
"要緊","iau4-gin4","急切重要。"
"要求","iau4-giu5","請求。"
"要領","iau4-ling4","事情的綱要、主旨。"
"要塞","iau4-sai3","國防、軍事上險要的地點。"
"要素","iau4-so3","構成事物的必要因素、條件。"
"要點","iau4-diam4","詞、書籍等的重要的部分。"
"要職","iau4-zit2","重要的職務。"
"重要","diong3-iau3",
"需要","su2-iau3","不能沒有。"
"必要","bit1-iau3","必須有。"
"提要","te2-iau3","大綱、概要。"
"要不得","iau4-but1-dik2","不應該。"
"要互汝","bheh1-ho3-li4","要給你。"
"要去","(bheh1/bhueh1)-ki3",
"要看","bheh1-kuann3","有看的意志。"
"要睏","bheh1-kun3","要睡。"
"要食","bheh1-ziah1","要吃。"
"無要","bhor2-bheh2","不要。"
"想要","(siunn3/sionn3)-bheh2","有意向。"
"天要光","tinn1-bheh1-gng1","天要亮。"
"其他","gi2-tann1","口語“別個”（bat3-e5）。"
"自己要用不賣他人","zu3-gi4-bheh1-iong2-but1-mai3-tann2-rin5",
"他們","tann2-bhun5","第三人稱複數。"
"他日","tann2-rit1","口語“另日”（ling3-rit1），別的日子。"
"他鄉遇故知","tann2-hiong1-ghu3-go4-di1",
"無他","bhu2-tann1","沒別的。"
"維他命","ui2-tann2-bhing2","維生素。"
"無他〔伊〕會死","bhor2-i1-e3-si4","如果沒有他（她），就會活不了。"
"去看他〔伊〕","ki4-kuann4-i1","去會見他。"
"時候","si2-hau2","時機。"
"時日","si2-rit1","良時吉日，日子。"
"時間","si2-gan1","泛指時刻的長短。"
"時刻","si2-kik2","時時。"
"時機","si2-gi1","時候機運。"
"時行","si2-giann5","流行。"
"時局","si2-giok1","當前的局勢。"
"時世","si2-se3","時代（si2-dai2）。"
"時常","si2-siong5","常常。"
"時陣","si2-zun2","時候。"
"時錶","si2-bior4","錶。“時鐘”（si2-zing1）。"
"現此時","hen3-cu1-si5","現在、此刻。"
"向時","hiang4-si5","往時（ong1-si5），又“彼時”（hit1-si5）。"
"不時","but1-si5","常常。"
"天時","ten2-si5","好的時機。"
"有時","u3-si5","“有時有陣”（u3-si2-u3-zun2）有一定的時間。"
"來咧","lai5-le0","來（一下）吧，同“來一下”（lai5-zit0-e0）。"
"來去","lai2-ki3","走吧。"
"來回","lai2-hue5","往返。"
"來歷","lai2-lik1","“來頭”（lai2-tau5）。"
"來往","lai2-ong4","交際。"
"來賓","lai2-bin1","客人。"
"來轉","lai2-dng4","回去吧。"
"轉來","dng4-lai0","回來。"
"落來","lorh1-lai0","下來。"
"入來","rip1-lai0","進來。"
"倒來","dor3-lai0","回來，同“倒轉來”（dor4-dng4-lai0）。"
"來源","lai2-ghuan5","事物由來的根源。"
"亂來","luan3-lai5","“烏白來”（o2-beh3-lai5）。又說（luan3-su1-lai5）。"
"毋來","m3-lai5","不來。"
"無卜來","bhor2-bheh1-lai5","不要來。"
"毋通來","m3-tang2-lai5","不可以來，又“-(bhe/bhue)-使來”（bhue3-sai1-lai5）。"
"用語","iong3-ghu4","適用的語詞。"
"用法","iong3-huat2","使用的方法。"
"用意","iong3-i3","存心。"
"用心計較","iong3-sim1-ge4-gau3","費心思。"
"用途","iong3-do5","應用方面。"
"用處","iong3-cu3","用途，同“路用”（lo2-iong2）。"
"費用","hui4-iong2","需要用的錢，“所費”（so1-hui3）。"
"代用","dai3-iong2","替代。"
"暫用","ziam3-iong2","暫時使用。"
"用力","ing3-lat1","盡力。"
"用茶","ing3-de5","喝茶。"
"用人","ing3-lang5","僱佣人。"
"用錢","ing3-zinn5","花費金錢。"
"我們","ngo1-bhun0","台語說“”（(ghuan4/ghun4)），又作“阮”。"
"你們","ni1-bhun0","台語說“-lin-”（或作恁）（lin4）。"
"他們","ta1-bhun0","台語說“-in-”（in1）。"
"老人們","lau3-lang5-bhun0","台語說“老伙仔伴”（lau3-hue1-a1-puann2）。"
"生物","sing2-bhut1","動植物的總稱。"
"生效","sing2-hau2","發生效力。"
"生理","sing2-li4","器官的機能，生意、買賣，生理人（sing2-li1-lang5）做買賣的人。"
"生計","sing2-ge3","生活方法。"
"生命","sing2-(bhing2/senn4)-mia2","性命。"
"生產","sing2-san4","生小孩，造新物。"
"生存","sing2-zun5","人活在世界上。"
"生平","sing2-bing5","平生。"
"生前","sing2-zen5","人活著的時候。"
"生態","sing2-tai2","生物的特徵、習性。"
"生財","sing2-zai5","產生利益。"
"生殖","sing2-sit1","產生繁殖。"
"生活","sing2-uah1","維持活命。"
"一生","it1-sing1","整個生命階段。"
"人生","rin2-sing1","人的一生。"
"平生","bing2-sing1","人出生到現在或死亡時的一切經歷。"
"前生","zen2-sing1","前世。"
"生子〔亦作囝〕","senn2-giann4",
"先生","sen2-senn1","老師。"
"生粒仔","senn2-liap2-a4","生癤子。"
"生相〔又作肖〕","senn2-(siunn3/sionn3)","鼠牛…等12生肖。"
"生死","senn2-si4","活與死。"
"生份","(senn2/cinn2)-hun2","陌生，“生分人”（senn2-hun3-lang5）陌生人。“生份”亦作“生分”，不熟悉也。"
"生父","senn2-be2","親生父。"
"生做","senn2-zor3","長相。"
"生日","senn2-rit1","出生的日子。"
"生成","senn2-sing5","長成，又（senn2-ziann5）。"
"後生","hau3-senn1","兒子。"
"畜生","tiok1-senn1","牲畜。"
"出生","cut1-senn1","又“出生入死”（cut1-senn1-rip3-si4）。"
"生番","cenn2-huan1","沒開化的人。"
"生跳跳","cenn2-tiau4-tiau3","喻很新鮮。"
"生魚","cenn2-hi5","沒煮的魚。"
"生菜","cenn2-cai3","沒煮的蔬菜。"
"生驚","cenn2-giann1","害怕，又“着生驚”（diorh3-cenn2-giann1）害怕了。"
"生冷","cenn2-ling4","冰冷，陰冷。"
"生疏","cenn2-so1","不熟悉。"
"生腳仔","cenn2-ka2-a4","毫無經驗的人。生手（cenn2-ciu4）。"
"生水","cenn2-zui4","沒煮過的天然水，反義語為“滾水”（gun1-zui4）。"
"到處","dor4-cu3","處處。"
"到底","dor4-(de4/di4)","又音（dau4-(de4/di4)）究竟。"
"周到","ziu2-dor3","周全。"
"達到","dat3-dor3","抵達目標、實現。"
"到尾","gau4-(bhe4/bhue4)","又說“到路尾”（gau4-lo3-bhe4）到了最後。"
"到啦","gau3-la0","到了。"
"到額“夠額”","gau4-ghiah1","足夠。"
"到厝","gau4-cu3","到了家。"
"到位","gau4-ui2","到達（目的地）。"
"行到","giann2-gau3","走到。"
"做會到","(zor4/zue4)-e3-gau3","辦得到。"
"作文","zok1-bhun5","寫文章。"
"作業","zok1-ghiap1","宿題、工作活動。"
"作孽","zok1-ghet1","做壞事、造孽。"
"作家","zok1-ga1","著作家。"
"作曲","zok1-kiok2","寫樂曲。"
"作怪","zok1-guai3","作祟，搞鬼。"
"作亂","zok1-luan2","造反。"
"作弊","zok1-be3","自己或幫助他人用不正當的方法取得的利益。"
"作品","zok1-pin4","文學藝術的創作。"
"作者","zok1-zia4","創作的人。"
"作戰","zok1-zen3","打仗。"
"作為","zok1-ui5","行為表現。"
"作用","zok1-iong2","用意，產生影響。"
"原作","ghuan2-zok2","原始作品。"
"工作","gang2-zok2","謀略活動。"
"傑作","get3-zok2","傑出的著作。"
"大作","dai3-zok2","尊稱他人的作品。"
"著作","zu4-zok2","作品。"
"造作","zor4-zok2","故意做出的不自然的行為。房屋的內部裝潢。"
"振作","zin4-zok2","提起精神。"
"作園","zorh1-hng5","耕田。"
"作穡","zorh1-sit2","種田。"
"作穡人","zorh4-sit1-lang5","種田的人“作穡兄”（zorh1-sit1-hiann1）。"
"作田","zorh1-can5","種田。"
"耕作","ging2-zorh2","耕種。"
"土地公","to1-di3-gong1","土地之神，又名福德正神。"
"土地婆","to1-di3-bor5","或謂土地公的太太。惟“土地”一詞的“地”不讀文言音，而讀白話音（(due2/de2)）。"
"地面","de3-bhin2","地球表面。"
"地獄","de3-ghak1","俗稱陰間的牢獄。"
"地下室","de3-ha3-sik2","地面下的房間。"
"地形","de3-hing5","地的形勢。"
"地方","de3-hng1","區域，處所。"
"地價","de3-ge3","土地價格。"
"地區","de3-ku1","較大範圍的地方。"
"地球","de3-giu5","人類居住的大地。"
"地理","de3-li4","地面上下的各種現象。"
"地名","de3-mia5","地方上的名稱。"
"地板","de3-ban4","舖在地上的木板。"
"地步","de3-bo2","境遇。"
"地皮","de3-(pue5/pe5)","土地。"
"地勢","de3-se3","地的形勢。"
"地帶","de3-dai3","有共同特徵的地方。"
"地動","de3-dang2","地震。"
"地點","de3-diam4","所在的地方。"
"地圖","de3-do5","地球表面形態的圖。"
"地毯","de3-tan4","舖在地上的毯子。"
"地頭","de3-tau5","本地、地盤。"
"地租","de3-zo1","土地的租金。"
"地主","de3-zu4","土地所有者。"
"貴地","gui4-de2","尊稱對方的所在地。"
"農地","long2-de2","農業用地。"
"山地","suann2-de2","山丘的地方。"
"天地","tinn2-de2","天和地。"
"場地","(dionn2/diunn2)-de2","場所。"
"草地","cau1-de2","鄉下。"
"處女地","cu4-(lu1/li1)-de2","未開拓地。"
"舊地重遊","gu3-de3-diong2-iu5",
"於今","u2-gim1","到現在。"
"於是","u2-si2","接着是。"
"至於","zi4-u5",
"大於","dua3-u5","“等於”（ding1-u5）。"
"出於…","cut1-u5","又“出自”（cut1-zu2）。"
"取之於民用之於民","cu1-zi2-u2-bhin5-iong3-zi2-u2-bhin5","從人民身上拿來的，用在人民身上。"
"出賣","cut1-(bhe2/bhue2)",
"出面","cut1-bhin2","親自出來處理。"
"出在","cut1-zai2","任由，如“出在伊講”（cut1-zai3-i2-gong4）任由他說，亦說“據在”（gu4-zai2）。"
"出芽","cut1-ghe5","發出胚芽，又說（buh1-ghe5）冒出芽來。"
"出現","cut1-hen2","顯現出來。"
"出外","cut1-ghua2","到外地去。"
"出發","cut1-huat2","起程動身。"
"出風頭","cut1-hong2-tau5","出頭露面。"
"出院","cut1-inn2","病好離開醫院。"
"出任","cut1-rim2","就任。"
"出入","cut1-rip1","出外與入內。"
"出日","cut1-rit1","出太陽。"
"出嫁","cut1-ge3","女子婚嫁。"
"出口","cut1-kau4","外出的門，輸出。"
"出去","cut1-ki3","到屋外去。"
"出氣","cut1-(kui3/ki3)","發洩怒氣。"
"出勤","cut1-(kin5/kun5)","上班。"
"出來","cut2-lai0","由內而出。"
"出力","cut1-lat1","盡力。"
"出路","cut1-lo2","發展的途徑。"
"出名","cut1-mia5","名氣很大。"
"出馬","cut1-ma4","出來參加競選或出面做事。"
"出門","cut1-mng5","外出。"
"出版","cut1-ban4","印成圖書報刊，以供出售或散布。"
"出品","cut1-pin4","製造出來的物品。"
"出產","cut1-san4","天然和人工製造的物品的產生。"
"出破","cut1-pua3","發覺，敗露。"
"出師","cut1-sai1","徒弟學藝成就。"
"出色","cut1-sik2","顯出特色。"
"出席","cut1-sik1","參加集會或活動。"
"出世","cut1-si3","出生，喻不見或遺失。"
"出生","cut1-(senn1/sinn1)","生下來。"
"出山","cut1-suann1","出殯。"
"出張","cut1-(dionn1/diunn1)","出差（cut1-ce1）。"
"出動","cut1-dong2","大量人員為某種任務而參加行動。"
"出頭","cut1-tau5","出面、帶頭露出，又“出頭天”（cut1-tau2-tinn1）從困苦中解脫出來，意同“出脫”（cut1-tuat2）。"
"日出","rit3-cut2","太陽出來。"
"不出所料","but1-cut1-so1-liau2","意料中。"
"-(bhe/bhue)-出得","(bhe3/bhue3)-cut1-dit2","不肯、不願。"
"就業","ziu3-ghiap1","就職。"
"就近","ziu3-gin2","在附近。"
"就學","ziu3-hak1","上學。"
"就任","ziu3-rim2","上任。"
"就是","ziu3-si2","即使，沒錯。"
"就地取材","ziu3-de2-cu1-zai5",
"就職","ziu3-zit2","就業。"
"就位","ziu3-ui2","入席。"
"就事論事","ziu3-su2-lun3-su2",
"成就","sing2-ziu2","有了成果。"
"屈就","kut1-ziu2","委屈遷就、擔任。"
"遷就","cen2-ziu2","委屈自己以求適合環境或別人。"
"分明","hun2-bhing5","清楚。"
"分母","hun2-bhor4","分數中下面的數目。"
"分行","hun2-hang5","分店。"
"分校","hun2-hau2","分設的學校。"
"分解","hun2-gai4","解說，分開來。"
"分工","hun2-gang1","分頭做一件事情。"
"分離","hun2-li5","分別，離開。"
"分裂","hun2-let1","整個的分開。"
"分類","hun2-lui2","依照種類分開。"
"分別","hun2-bet1","區別。"
"分開","hun2-kui1","口語音為（bun2-kui1）把連在一起的拆開。"
"分辨、分辯音同為","hun2-ben2","辨別、辯別。"
"分布","hun2-bo3","分開散布。"
"分配","hun2-pue3","區分支配。"
"分心","hun2-sim1","費心。"
"分散","hun2-san3","又音（hun2-suann3）分離散開。"
"分身","hun2-sin1","兼顧的意思。"
"分數","hun2-so3","用幾分之幾的方式表現的數目。"
"分擔","hun2-dam1","分別擔負。"
"分子","hun2-zu4","分數中在上面的數。"
"慢分","bhan3-hun1","誤點。"
"十二萬分","zap3-ri3-bhan3-hun1","非常。"
"分外","hun3-ghua2","格外。"
"分內","hun3-lai2","本分以內。"
"分量","hun3-liong2","指力量。"
"分際","hun3-ze3","界限，範圍。"
"分子","hun3-zu4","也作「份子」。"
"本分","bun1-hun2","地位或職務。"
"過分","(ge4/gue4)-hun2","超過了應有的程度。"
"成分","sing2-hun2","構成物體的分子。"
"鹽分","iam2-hun2","含鹽的分量。"
"天分","ten2-hun2","稟賦、天資。"
"分來的","bun1-lai0-e0","要來的。"
"分紅利","bun2-ang2-li2","分配利益。"
"分家","bun2-ge1","分財產。"
"分隨人","bun2-sui2-lang5","分家各自營生。"
"分張","bun2-dionn1","指孩子有氣量、慷慨願意把東西分給別人。"
"分食","bun2-ziah1","伙食分開，即分家。"
"對面","dui4-bhin2","相對的那一面。"
"對號","dui4-hor2","指定座位。"
"對方","dui4-hong1","相對的方面。"
"對付","dui4-hu3","應付。"
"對反","dui4-huan4","顛倒，相反。"
"對抗","dui4-kong3","抵抗。"
"對象","dui4-siong2","行為或思維所針對的事物。男女交遊婚嫁的對方。"
"對看","dui4-kuann3","相互參看，相親。"
"對立","dui4-lip1","敵對、矛盾狀態。"
"對年","dui4-ni5","一周年忌。"
"對分","dui4-bun1","平分，又說“對半分”（dui4-buann4-bun1）。"
"對不住","dui4-but1-zu2","對不起。"
"對待","dui4-tai2","應付。"
"對觸","dui4-dak2","對抗、爭鬥。"
"對敵","dui4-dik1","競爭的對方。"
"對等","dui4-ding4","互相平等。"
"對中","dui4-diong1","正中。"
"對照","dui4-ziau3","互相對比照應。"
"對症","dui4-zing3","針對症狀。"
"對質","dui4-zit2","當事者互相當面質問。"
"對策","dui4-cik2","方法。"
"對手","dui4-ciu4","本領相當的人。"
"對應","dui4-ing3","不同系統中相同部分。"
"無對","bhor2-dui3","不對。"
"聯對","len2-dui3","對聯，又說“對仔”（dui1-a4）對子。"
"雙雙對對","siang2-siang2-dui4-dui3","成雙成對，喻男女同伴。"
"成","sing2","像、類似之意。汝有成汝阿兄（li1-u3-sing2-li1-a2-hiann1）你像你哥哥。"
"成分","sing2-hun1","構成物體的分子。"
"成婚","sing2-hun1","結婚。"
"成家","sing2-ga1","結婚組織家庭。"
"成見","sing2-gen3","心裏已決定不易變更的意見。"
"成果","sing2-gor4","成績結果。"
"成交","sing2-gau1","買賣成功。"
"成功","sing2-gong1","事業成就。"
"成年","sing2-len5","滿二十歲的人。"
"成立","sing2-lip1","指事業的建立開始。"
"成品","sing2-pin4","做好的東西。"
"成本","sing2-bun4","商品的本錢。"
"成事","sing2-su2","辦好事情。"
"成熟","sing2-sik1","果實、稻穀已熟。"
"成長","sing2-diong5","生長、長成。"
